code,name,title,filename,fy,q,custom_id,position,link
JPM.N,JPMorgan Chase & Co,ESG 2022 Data Tables ,JPM.N_FY2022_2022 ESG Data.pdf,2022,JPMorgan Chase & Co ESG  Data Tables 2023  filetype:pdf,18,1.0,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2023.pdf
XOM.N,Exxon Mobil Corp,2024 Advancing Climate Solutions Executive Summary ,XOM.N_FY2022_2024 Advancing Climate Solutions.pdf,2022,Exxon Mobil Corp Advancing Climate Solutions Executive Summary 2025  filetype:pdf,19,1.0,https://corporate.exxonmobil.com/-/media/global/files/advancing-climate-solutions/2024/acs-report-executive-summary.pdf
XOM.N,Exxon Mobil Corp,2023 Sustainability Report ,XOM.N_FY2022_Exxon Sustainability Report 2023.pdf,2022,Exxon Mobil Corp Sustainability Report 2024  filetype:pdf,20,1.0,https://corporate.exxonmobil.com/-/media/global/files/advancing-climate-solutions/2024/acs-report-executive-summary.pdf
JNJ.N,Johnson & Johnson,GohwonGohwen — 2022 ESG Summary ,JNJ.N_FY2022_ 2022 ESG Summary.pdf,2022,Johnson & Johnson GohwonGohwen —  ESG Summary 2023  filetype:pdf,21,,
JNJ.N,Johnson & Johnson,2022 Health for Humanity Report ,JNJ.N_FY2022_2022 Health for Humanity Report.pdf,2022,Johnson & Johnson Health for Humanity Report 2023  filetype:pdf,22,1.0,https://www.investor.jnj.com/files/doc_downloads/Annual_meeting/2024/Johnson-Johnson-2023-Annual-Report.pdf
MA.N,Mastercard Inc,Mastercard 2022 ESG Report ,"MA.N_FY2022_Mastercard 2022 Environmental, Social andGovernance Report.pdf",2022,Mastercard Inc Mastercard  ESG Report 2023  filetype:pdf,23,1.0,https://www.mastercard.com/content/dam/public/mastercardcom/na/global-site/documents/mastercard-esg-sustainabilty-report-2023.pdf
005930.KS,Samsung Electronics Co Ltd,Samsung Electronics Sustainability Report 2023 ,005930.KS_FY2022_Sustainability Report 2023.pdf,2022,Samsung Electronics Co Ltd Samsung Electronics Sustainability Report 2024  filetype:pdf,24,1.0,https://www.samsung.com/global/sustainability/media/pdf/Samsung_Electronics_Sustainability_Report_2023_ENG.pdf
005930.KS,Samsung Electronics Co Ltd,Samsung Electronics Sustainability Report 2023 ,005930.KS_FY2022_CSR Juthika.pdf,2022,Samsung Electronics Co Ltd Samsung Electronics Sustainability Report 2024  filetype:pdf,25,1.0,https://www.samsung.com/global/sustainability/media/pdf/Samsung_Electronics_Sustainability_Report_2023_ENG.pdf
NESN.S,Nestle SA,Nestlé’s Salient Issue Action Plan: Child labor and access to education ,NESN.S_FY2022_20230227NestleSA-CorporateResponsibility2023-2-27WC000000003004156757.pdf,2022,Nestle SA Nestlé’s Salient Issue Action Plan: Child labor and access to education 2023  filetype:pdf,26,1.0,https://www.nestle.com/sites/default/files/2023-02/nestle-salient-issues-action-plans-feb-2023.pdf
HD.N,Home Depot Inc,ESG Report ,HD.N_FY2022_20220728HomeDepotInc-The-CorporateResponsibility2022-7-28WC000000002988084432.pdf,2022,Home Depot Inc ESG Report 2023  filetype:pdf,27,1.0,https://corporate.homedepot.com/sites/default/files/2023-07/2023%20Home%20Depot%20ESG%20Report_vF.4_7.25.23%20%28compressed%29.pdf
ORCL.N,Oracle Corp,Oracle Social Impact Report ,ORCL.N_FY2022_Environmental and Social Impact Report.pdf,2022,Oracle Corp Oracle Social Impact Report 2023  filetype:pdf,28,1.0,https://www.oracle.com/a/ocom/docs/social-impact-report-2022.pdf
CVX.N,Chevron Corp,Chevron 2022 Corporate Sustainability Report: Performance Data ,CVX.N_FY2022_20230503ChevronCorp-CorporateResponsibility2023-05-03.pdf,2022,Chevron Corp Chevron  Corporate Sustainability Report: Performance Data 2023  filetype:pdf,29,1.0,https://www.chevron.com/-/media/shared-media/documents/chevron-sustainability-report-2023.pdf
CVX.N,Chevron Corp,Chevron 2022 Corporate Sustainability Report ,CVX.N_FY2022_2022 corporate sustainability report .pdf,2022,Chevron Corp Chevron  Corporate Sustainability Report 2023  filetype:pdf,30,1.0,https://www.chevron.com/-/media/shared-media/documents/chevron-sustainability-report-2023.pdf
CVX.N,Chevron Corp,Chevron Corporation 2023 Climate Change Resilience Report ,CVX.N_FY2022_2023 Climate Change Resilience Report.pdf,2022,Chevron Corp Chevron Corporation  Climate Change Resilience Report 2024  filetype:pdf,31,1.0,https://www.chevron.com/-/media/chevron/sustainability/documents/climate-change-resilience-report.pdf
MRK.N,Merck & Co Inc,Impact Report 2022/2023 ,MRK.N_FY2022_Impact Report 20222023.pdf,2022,Merck & Co Inc Impact Report / 2023  filetype:pdf,32,1.0,https://www.merck.com/wp-content/uploads/sites/124/2023/08/Merck-Impact-Report-22-23.pdf
KO.N,Coca-Cola Co,The Coca-Cola Company 2022 Business & Sustainability Report ,KO.N_FY2022_2022 BUSINESS & SUSTAINABILITY REPORT .pdf,2022,Coca-Cola Co The Coca-Cola Company  Business & Sustainability Report 2023  filetype:pdf,33,1.0,https://www.coca-colacompany.com/content/dam/company/us/en/reports/coca-cola-business-sustainability-report-2022.pdf
PEP.OQ,PepsiCo Inc,2022 ESG Performance Metrics ,PEP.OQ_FY2022_2022 ESG Performance Metrics.pdf,2022,PepsiCo Inc ESG Performance Metrics 2023  filetype:pdf,34,1.0,https://www.pepsico.com/docs/default-source/sustainability-and-esg-topics/2022-esg-summary/2022-esg-summary-performance-metrics.pdf
PEP.OQ,PepsiCo Inc,PepsiCo 2022 ESG Summary Overview ,PEP.OQ_FY2022_2022 ESG Summary Overview.pdf,2022,PepsiCo Inc PepsiCo  ESG Summary Overview 2023  filetype:pdf,35,1.0,https://www.pepsico.com/docs/default-source/sustainability-and-esg-topics/2022-esg-summary/overview-of-pepsico%27s-2022-esg-summary.pdf
ABBV.N,Abbvie Inc,2022 ESG Action Report ,ABBV.N_FY2022_2022 ESG Action Report.pdf,2022,Abbvie Inc ESG Action Report 2023  filetype:pdf,36,1.0,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/abbvie-esg-action-report.pdf
BAC.N,Bank of America Corp,2022 Performance Data Summary and Global Reporting Initiative Index ,BAC.N_FY2022_2022 Performance Data Summaryand Global Reporting Initiative Index.pdf,2022,Bank of America Corp Performance Data Summary and Global Reporting Initiative Index 2023  filetype:pdf,37,1.0,https://investor.bankofamerica.com/regulatory-and-other-filings/annual-reports/content/0000070858-24-000135/0000070858-24-000135.pdf
HRMS.PA,Hermes International SCA,2022 UNIVERSAL REGISTRATION DOCUMENT HERMÈS INTERNATIONAL ,HRMS.PA_FY2022_2022 UNIVERSAL REGISTRATION DOCUMENT.pdf,2022,Hermes International SCA UNIVERSAL REGISTRATION DOCUMENT HERMÈS INTERNATIONAL 2023  filetype:pdf,38,1.0,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2024-03/1711537732/240326_hermes_2023urd_en.pdf
MCD.N,McDonald's Corp,McDonald's Corporation Purpose & Impact Report ,MCD.N_FY2022_Purpose & Impact Report 2022–2023.pdf,2022,McDonald's Corp McDonald's Corporation Purpose & Impact Report 2023  filetype:pdf,39,1.0,https://corporate.mcdonalds.com/content/dam/sites/corp/nfl/pdf/McDonalds_PurposeImpact_ProgressReport_2022_2023.pdf
MCD.N,McDonald's Corp,McDonald’s Global DEI Report 2022–2023 ,"MCD.N_FY2022_Global Diversity, Equity and Inclusion Report 2022-2023.pdf",2022,McDonald's Corp McDonald’s Global DEI Report – 2023  filetype:pdf,40,1.0,https://corporate.mcdonalds.com/content/dam/sites/corp/nfl/pdf/McDonalds_Corporation_Diversity_Equity_and_Inclusion-2022-2023.pdf
CSCO.OQ,Cisco Systems Inc,2022 Cisco Purpose Report ,CSCO.OQ_FY2022_2022 Purpose Report.pdf,2022,Cisco Systems Inc Cisco Purpose Report 2023  filetype:pdf,41,1.0,https://www.cisco.com/c/dam/m/en_us/about/csr/esg-hub/_pdf/purpose-report-2023.pdf
CRM.N,Salesforce Inc,Decarbonizing IT Infrastructure ,CRM.N_FY2022_20220208SalesforceInc-CorporateResponsibility2022-2-08WC000000002973258288.pdf,2022,Salesforce Inc Decarbonizing IT Infrastructure 2023  filetype:pdf,42,1.0,https://www.salesforce.com/content/dam/web/en_au/www/documents/pdf/charting-a-path-for-utility-digital-transformation-salesforce-ebook-au.pdf
PFE.N,Pfizer Inc,"Pfizer 2022 Environmental, Social & Governance Report ",PFE.N_FY2022_ESG Report 2022.pdf,2022,"Pfizer Inc Pfizer  Environmental, Social & Governance Report 2023  filetype:pdf",43,1.0,https://s28.q4cdn.com/781576035/files/doc_financials/2023/ar/Pfizer_2023_Impact_Report_11MAR2024.pdf
TMO.N,Thermo Fisher Scientific Inc,2022 Corporate Social Responsibility Report ,TMO.N_FY2022_Corporate Social Responsibility Report 2022.pdf,2022,Thermo Fisher Scientific Inc Corporate Social Responsibility Report 2023  filetype:pdf,44,1.0,https://corporate.thermofisher.com/content/dam/tfcorpsite/documents/corporate-social-responsibility/annual-reports/2023-CSR-Report.pdf
RDSa.L,Shell PLC,Shell plc Sustainability Report 2022 ,RDSa.L_FY2022_SustainabilityReport2022.pdf,2022,Shell PLC Shell plc Sustainability Report 2023  filetype:pdf,45,1.0,https://www.shell.com/content/dam/shell/assets/en/business-functions/sustainability/communities/documents/2023-cdp-climate-change-shell-plc.pdf
NFLX.OQ,Netflix Inc,Netflix ESG Report 2022 ,NFLX.OQ_FY2022_EnvironmentalSocial GovernanceReport 2022.pdf,2022,Netflix Inc Netflix ESG Report 2023  filetype:pdf,46,1.0,https://www.hermes-investment.com/uploads/2023/12/2a388bae653f2c2d70cb6d5ada8663c5/eos-netflix-case-study-11-2023.pdf
ABT.N,Abbott Laboratories,GLOBAL SUSTAINABILITY REPORT 2022 ,ABT.N_FY2022_GLOBAL SUSTAINABILITY REPORT 2022.pdf,2022,Abbott Laboratories GLOBAL SUSTAINABILITY REPORT 2023  filetype:pdf,47,1.0,https://dam.abbott.com/en-us/documents/pdfs/abbott-citizenship/Abbott-2022-Global-Sustainability-Report-June-2023.pdf
0857.HK,PetroChina Co Ltd,"PetroChina ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT ","0857.HK_FY2022_2022 environmental, social and governance report.pdf",2022,"PetroChina Co Ltd PetroChina ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2023  filetype:pdf",48,1.0,https://www.hkexnews.hk/listedco/listconews/sehk/2024/0325/2024032501707.pdf
AMD.OQ,Advanced Micro Devices Inc,AMD«e\l together we advance_ ,AMD.OQ_FY2022_2022-23 Corporate Responsibility Report.pdf,2022,Advanced Micro Devices Inc AMD«e\l together we advance_ 2023  filetype:pdf,49,1.0,https://ir.amd.com/sec-filings/content/0000002488-23-000047/0000002488-23-000047.pdf
LIN.N,Linde PLC,Linde 2022 Sustainable Development Report ,LIN.N_FY2022_2022 Sustainable Development Report.pdf,2022,Linde PLC Linde  Sustainable Development Report 2023  filetype:pdf,50,1.0,https://assets.linde.com/-/media/global/corporate/corporate/documents/sustainable-development/2023-cdp-response-climate-change.pdf
CMCSA.OQ,Comcast Corp,Comcast Corporation - 2023 Carbon Footprint Data Report ,CMCSA.OQ_FY2022_Carbon Footprint Data Report 2023.pdf,2022,Comcast Corp Comcast Corporation -  Carbon Footprint Data Report 2024  filetype:pdf,51,1.0,https://www.cmcsa.com/static-files/e15066f6-5b23-4c4f-8c89-9d3d69dfb9d3
CMCSA.OQ,Comcast Corp,2 02 3 I M PAC T REPO RT ,CMCSA.OQ_FY2022_Impact Report 2023.pdf,2022,Comcast Corp 2 02 3 I M PAC T REPO RT 2023  filetype:pdf,52,1.0,https://s20326.pcdn.co/wp-content/uploads/sites/33/dlm_uploads/2023/06/Comcast-Impact-Report-2023-Final-Web-3.pdf
DHR.N,Danaher Corp,SUSTAINABILITY REPORT 2023 ,DHR.N_FY2022_SUSTAINABILITY REPORT 2023.pdf,2022,Danaher Corp SUSTAINABILITY REPORT 2024  filetype:pdf,53,1.0,https://www.danaher.com/sites/default/files/2023-10/danaher-2023-sustainability-report.pdf
TMUS.OQ,T-Mobile US Inc,2022 CORPORATE RESPONSIBILITY REPORT ,TMUS.OQ_FY2022_2022 Corporate Responsibility Report.pdf,2022,T-Mobile US Inc CORPORATE RESPONSIBILITY REPORT 2023  filetype:pdf,54,1.0,https://s29.q4cdn.com/310188824/files/doc_downloads/2023/01/T-Mobile-Pathway-To-Net-Zero-Jan-2023.pdf
1288.HK,Agricultural Bank of China Ltd,2022 年社会责任报告 ,1288.HK_FY2022_2022社会责任报告（环境、社会及治理报告）.pdf,2022,Agricultural Bank of China Ltd 年社会责任报告 2023  filetype:pdf,55,1.0,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0328/2024032803204_c.pdf
1288.HK,Agricultural Bank of China Ltd,Agricultural Bank of China Corporate Social Responsibility Report ,1288.HK_FY2022_20230330AgriculturalBankofChinaLtd-CorporateResponsibility2023-3-30SL000000003007327988.pdf,2022,Agricultural Bank of China Ltd Agricultural Bank of China Corporate Social Responsibility Report 2023  filetype:pdf,56,1.0,https://www.abchina.com/en/AboutUs/csr-report/202403/P020240328668627319429.pdf
SAPG.DE,SAP SE,SAP Integrated Report 2022 ,SAPG.DE_FY2022_Integrated Annual report 2022.pdf,2022,SAP SE SAP Integrated Report 2023  filetype:pdf,57,1.0,https://help.sap.com/doc/e2048712f0ab45e791e6d15ba5e20c68/2023/en-US/FSD_OP2023_latest.pdf
SAPG.DE,SAP SE,2023 SAP Sustainability Report ,SAPG.DE_FY2022_2023 SAP Sustainability Report.pdf,2022,SAP SE SAP Sustainability Report 2024  filetype:pdf,58,1.0,https://help.sap.com/doc/c0487bac037841fea3c113984b165ff7/LATEST/en-US/1f4d42334b044c19a97a5b3657fc9f7a.pdf
TXN.OQ,Texas Instruments Inc,2022 Corporate Citizenship Report ,TXN.OQ_FY2022_2022 CorporateCitizenship Report.pdf,2022,Texas Instruments Inc Corporate Citizenship Report 2023  filetype:pdf,59,1.0,https://www.ti.com/lit/ml/szzo105/szzo105.pdf
NKE.N,Nike Inc,"FY22 NIKE, Inc. Impact Report ",NKE.N_FY2022_Impact Report 2022.pdf,2022,"Nike Inc FY NIKE, Inc. Impact Report 2023  filetype:pdf",60,1.0,https://media.about.nike.com/files/2fd5f76d-50a2-4906-b30b-3b6046f36ebf/FY23_Nike_Impact_Report.pdf
3988.HK,Bank of China Ltd,Data Story in 2022 ,3988.HK_FY2022_20230330BankofChinaLtd-CorporateResponsibility2023-3-30SL000000003007330865.pdf,2022,Bank of China Ltd Data Story in 2023  filetype:pdf,61,1.0,https://pic.bankofchina.com/bocappd/report/202404/P020240425635347346921.pdf
3988.HK,Bank of China Ltd,2022 Sustainability Report ,3988.HK_FY2022_2022 Sustainability Report.pdf,2022,Bank of China Ltd Sustainability Report 2023  filetype:pdf,62,1.0,https://pic.bankofchina.com/bocappd/report/202310/P020231011315246686358.pdf
DIS.N,Walt Disney Co,2022 CORPORATE SOCIAL RESPONSIBILITY REPORT ,DIS.N_FY2022_2022 Data and Reporting Framework.pdf,2022,Walt Disney Co CORPORATE SOCIAL RESPONSIBILITY REPORT 2023  filetype:pdf,63,1.0,https://thewaltdisneycompany.eu/app/uploads/2024/04/TWDC-EMEA-CSR-Report_2023.pdf
WFC.N,Wells Fargo & Co,"Diversity, Equity, and Inclusion at Wells Fargo ",WFC.N_FY2022_Diversity Equity Inclusion Report 2023.pdf,2022,"Wells Fargo & Co Diversity, Equity, and Inclusion at Wells Fargo 2023  filetype:pdf",64,1.0,https://www08.wellsfargomedia.com/assets/pdf/about/corporate/diversity-equity-inclusion-report.pdf
WFC.N,Wells Fargo & Co,Wells Fargo Sustainability & Governance Report ,WFC.N_FY2022_Sustainability and Governance Report 2023.pdf,2022,Wells Fargo & Co Wells Fargo Sustainability & Governance Report 2023  filetype:pdf,65,1.0,https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/sustainability-and-governance-report.pdf
UPS.N,United Parcel Service Inc,Creating a MORE EQUITABLE and JUST WORLD ,UPS.N_FY2022_Social Impact Report 2022.pdf,2022,United Parcel Service Inc Creating a MORE EQUITABLE and JUST WORLD 2023  filetype:pdf,66,1.0,https://about.ups.com/content/dam/upsstories/assets/social-impact/UPS%20Sustainability%20Overview_Jan%202023.pdf
0005.HK,HSBC Holdings PLC,HSBC Holdings plc Annual Report and Accounts 2022 ,0005.HK_FY2022_Annual Report and Accounts 2022.pdf,2022,HSBC Holdings PLC HSBC Holdings plc Annual Report and Accounts 2023  filetype:pdf,67,1.0,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2023/annual/pdfs/hsbc-holdings-plc/240226-annual-report-and-accounts-2023.pdf
NEE.N,Nextera Energy Inc,Sustainability Report ,NEE.N_FY2022_2023 Sustainability Report.pdf,2022,Nextera Energy Inc Sustainability Report 2023  filetype:pdf,68,1.0,https://www.nexteraenergy.com/content/dam/nee/us/en/pdf/2023_NEE_Sustainability_Report_Final.pdf
TCS.NS,Tata Consultancy Services Ltd,Innovating for Greater Futures Integrated Annual Report ,TCS.NS_FY2022_Integrated Annual Report 2021-2022.pdf,2022,Tata Consultancy Services Ltd Innovating for Greater Futures Integrated Annual Report 2023  filetype:pdf,69,1.0,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2022-23/ar/annual-report-2022-2023.pdf
0939.HK,China Construction Bank Corp,China Construction Bank Corporation 2023 Semi-annual ESG Report ,0939.HK_FY2022_2023Semi-annual ESG Report.pdf,2022,China Construction Bank Corp China Construction Bank Corporation  Semi-annual ESG Report 2024  filetype:pdf,70,1.0,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0328/2024032802545.pdf
RTX.N,Raytheon Technologies Corp,"Raytheon Technologies 2022 Environmental, Social and Governance Report ",RTX.N_FY2022_2022 ESG Report.pdf,2022,"Raytheon Technologies Corp Raytheon Technologies  Environmental, Social and Governance Report 2023  filetype:pdf",71,1.0,https://prd-sc102-cdn.rtx.com/-/media/rtx/social-impact/our-esg-vision/esg-2023/resources/cdp-climate-2023-final-webposting
RTX.N,Raytheon Technologies Corp,"Raytheon Technologies 2022 Environmental, Social and Governance Summary ","RTX.N_FY2022_2022 Environmental, Socialand Governance Summary.pdf",2022,"Raytheon Technologies Corp Raytheon Technologies  Environmental, Social and Governance Summary 2023  filetype:pdf",72,1.0,https://prd-sc102-cdn.rtx.com/-/media/rtx/social-impact/our-esg-vision/esg-2023/resources/cdp-climate-2023-final-webposting
TOTF.PA,TotalEnergies SE,"2023 Strategy, Sustainability & Climate ",TOTF.PA_FY2022_20230321TotalEnergiesSE-CorporateResponsibility2023-3-21WC000000003006461380.pdf,2022,"TotalEnergies SE Strategy, Sustainability & Climate 2024  filetype:pdf",73,1.0,https://totalenergies.com/system/files?file=documents/2024-03/totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf.pdf
TOTF.PA,TotalEnergies SE,Sustainability & Climate 2023 Progress Report ,TOTF.PA_FY2022_Sustainability & Climate Progress Report 2023.pdf,2022,TotalEnergies SE Sustainability & Climate  Progress Report 2024  filetype:pdf,74,1.0,https://totalenergies.com/system/files?file=documents/2024-03/totalenergies_sustainability-climate-2024-progress-report_2024_fr_pdf.pdf
MS.N,Morgan Stanley,Morgan Stanley | 2022 ESG Report ,MS.N_FY2022_2022 ESG Report.pdf,2022,Morgan Stanley Morgan Stanley |  ESG Report 2023  filetype:pdf,75,1.0,https://www.morganstanley.com/content/dam/msdotcom/en/assets/pdfs/Morgan_Stanley_2022_ESG_Report.pdf
HON.N,Honeywell International Inc,FOUNDATION FOR THE FUTURE ,"HON.N_FY2022_2023 Environmental, Social and Governance Report.pdf",2022,Honeywell International Inc FOUNDATION FOR THE FUTURE 2023  filetype:pdf,76,1.0,https://www.honeywell.com/content/dam/honeywellbt/en/documents/downloads/hon-esg-report.pdf
INTC.OQ,Intel Corp,2022-23 Corporate Responsibility Report ,INTC.OQ_FY2022_2022-23 CorporateResponsibility Report.pdf,2022,Intel Corp - Corporate Responsibility Report 2023  filetype:pdf,77,1.0,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2022-23-Full-Report.pdf
BMY.N,Bristol-Myers Squibb Co,2022 ESG REPORT ,BMY.N_FY2022_2022 ESG REPORT .pdf,2022,Bristol-Myers Squibb Co ESG REPORT 2023  filetype:pdf,78,1.0,https://www.bms.com/assets/bms/de/documents/BMS-ESG-Report-2023.pdf
SASY.PA,Sanofi SA,Climate Change – Road to Net Zero ,SASY.PA_FY2022_Climate Change – Road to Net Zero Factsheet.pdf,2022,Sanofi SA Climate Change – Road to Net Zero 2023  filetype:pdf,79,1.0,https://www.sanofi.com/assets/dotcom/content-app/documents/climate-change-road-to-net-zero.pdf
INTU.OQ,Intuit Inc,Intuit 2022 Corporate Responsibility Report ,INTU.OQ_FY2022_2022 Corporate Responsibility Report.pdf,2022,Intuit Inc Intuit  Corporate Responsibility Report 2023  filetype:pdf,80,1.0,https://investors.intuit.com/files/doc_downloads/intuit-cr-report-2023-icom.pdf
BA.N,Boeing Co,2023 Boeing Sustainability Report ,BA.N_FY2022_CSR Juthika.pdf,2022,Boeing Co Boeing Sustainability Report 2024  filetype:pdf,81,1.0,https://www.boeing.com/content/dam/boeing/boeingdotcom/principles/sustainability/sustainability-report/2023/assets/2023-Boeing-Sustainability-Report.pdf
CAT.N,Caterpillar Inc,Caterpillar 2022 Sustainability Report ,CAT.N_FY2022_SUSTAINABILITY REPORT 2022.pdf,2022,Caterpillar Inc Caterpillar  Sustainability Report 2023  filetype:pdf,82,1.0,https://esgdistrict.tijd.be/media/Caterpillar-2023-ENG-1.pdf
